Date,Distance,Duration,HeartRate,Pace,Notes
2024-03-11,3.40,00:00:00,0,0,
2024-03-13,4.40,00:00:00,0,0,
2024-03-15,4.40,00:00:00,0,0,
2024-03-22,4.40,00:00:00,0,0,
2024-03-29,4.40,00:00:00,0,0,
2024-04-12,6.60,00:00:00,0,0,
2024-04-19,6.50,00:00:00,0,0,
2024-04-22,6.50,00:00:00,0,0,
2024-04-24,6.60,00:00:00,0,0,
2024-04-26,6.50,00:00:00,0,0,
2024-04-29,6.70,00:00:00,0,0,
2024-05-08,5.90,00:00:00,0,0,
2024-05-24,6.60,00:00:00,0,0,
2024-05-27,6.50,00:00:00,0,0,
2024-05-29,6.50,00:00:00,0,0,
2024-05-31,6.40,00:00:00,0,0,
2024-06-03,6.50,00:00:00,0,0,
2024-06-05,5.00,00:00:00,0,0,
2024-06-07,1.30,00:00:00,0,0,
2024-06-08,5.00,00:00:00,0,0,
2024-06-10,5.50,00:00:00,0,0,
2024-06-12,5.00,00:00:00,0,0,
2024-06-14,5.00,00:00:00,0,0,
2024-06-17,5.00,00:00:00,0,0,
2024-06-19,5.00,00:00:00,0,0,
2024-06-21,5.00,00:00:00,0,0,
2024-06-24,5.00,00:00:00,0,0,
2024-06-26,5.00,00:00:00,0,0,
2024-06-28,5.00,00:00:00,0,0,
2024-07-03,5.00,00:00:00,0,0,
2024-07-05,5.00,00:00:00,0,0,
2024-07-08,5.00,00:00:00,0,0,
2024-07-10,5.00,00:00:00,0,0,
2024-07-17,5.00,00:00:00,0,0,
2024-07-19,5.00,00:00:00,0,0,
2024-07-22,5.00,00:00:00,0,0,
2024-07-24,5.00,00:00:00,0,0,
2024-07-26,5.00,00:00:00,0,0,
2024-07-29,5.00,00:00:00,0,0,
2024-07-31,5.00,00:00:00,0,0,
2024-08-02,5.00,00:00:00,0,0,
2024-08-05,5.41,00:40:00,0,0,
2024-08-07,5.54,00:40:00,0,0,
2024-08-09,5.79,00:40:00,0,0,
2024-08-12,6.01,00:40:00,0,0,
2024-08-14,5.89,00:40:00,0,0,
2024-08-16,5.88,00:40:00,0,0,
2024-08-16,2.00,00:00:00,0,0,
2024-08-19,5.82,00:40:00,0,0,
2024-08-20,2.01,00:00:00,0,0,
2024-08-21,5.90,00:40:00,0,0,
2024-08-21,2.11,00:00:00,0,0,
2024-08-22,2.03,00:00:00,0,0,
2024-08-23,5.91,00:40:00,0,0,
2024-08-28,6.19,00:40:00,0,0,
2024-08-28,2.03,00:00:00,0,0,
2024-08-29,2.03,00:00:00,0,0,
2024-08-30,5.94,00:40:00,0,0,
2024-09-02,6.25,00:40:13,142,6m26s,早上森林公园
